"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1442","e2e/tests/securearea.test.ts","","2026-03-29","broken","2026-03-29","","(test file execution)","",""
"","6390","e2e/tests/info.test.ts","","2026-03-29","broken","2026-03-29","","(test file execution)","",""
"","1200","e2e/tests/login.test.ts","","2026-03-29","broken","2026-03-29","","(test file execution)","",""
"","1111","e2e/tests/profile.test.ts","","2026-03-29","broken","2026-03-29","","(test file execution)","",""
